fix_hash,bug_hash,Y,bug_repo,fix_repo
712efaaefb43e4a0390b852b544b80066822355a,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
712efaaefb43e4a0390b852b544b80066822355a,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
712efaaefb43e4a0390b852b544b80066822355a,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
712efaaefb43e4a0390b852b544b80066822355a,dffa2a5298ca0540313fbae53788c9842eab2cdf,0,UniTime/unitime,UniTime/unitime
712efaaefb43e4a0390b852b544b80066822355a,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
712efaaefb43e4a0390b852b544b80066822355a,cef417001282614ea8e50c0f29513fa8b02ad575,0,UniTime/unitime,UniTime/unitime
712efaaefb43e4a0390b852b544b80066822355a,cef417001282614ea8e50c0f29513fa8b02ad575,0,UniTime/unitime,UniTime/unitime
86c6fa1a631b9f8b7b39427afc98eda2710d1a14,ac494c6c2710a207f51a219e3b09360a9c94203c,0,JetBrains/intellij-community,JetBrains/intellij-community
9cec69a5085d69ea9956dee7053ddd22fd3b415f,7aecd02bea1ec57b96fd272257887cd1d589a26b,0,openmicroscopy/bioformats,openmicroscopy/bioformats
5cfacab3dd59b151a5dc265b7f105c3d59ea7b08,f6e9e9d4db7a0992ab7e58f46298e65060440b00,0,UniTime/unitime,UniTime/unitime
5cfacab3dd59b151a5dc265b7f105c3d59ea7b08,592152dea3d2b8489ffd7b639f416ede9488eaaf,0,UniTime/unitime,UniTime/unitime
5cfacab3dd59b151a5dc265b7f105c3d59ea7b08,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
5cfacab3dd59b151a5dc265b7f105c3d59ea7b08,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
5cfacab3dd59b151a5dc265b7f105c3d59ea7b08,0dd84a04f05c4a852194e92db650588d1a8166c0,0,UniTime/unitime,UniTime/unitime
5cfacab3dd59b151a5dc265b7f105c3d59ea7b08,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
5cfacab3dd59b151a5dc265b7f105c3d59ea7b08,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
5cfacab3dd59b151a5dc265b7f105c3d59ea7b08,dffa2a5298ca0540313fbae53788c9842eab2cdf,0,UniTime/unitime,UniTime/unitime
dd6dc2da5d55b928dd41f1c5a8efb7df73e897f3,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
dd6dc2da5d55b928dd41f1c5a8efb7df73e897f3,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
dd6dc2da5d55b928dd41f1c5a8efb7df73e897f3,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
dd6dc2da5d55b928dd41f1c5a8efb7df73e897f3,bc910d85e112fa0c6fac5f485f338be58117ea6b,0,UniTime/unitime,UniTime/unitime
dd6dc2da5d55b928dd41f1c5a8efb7df73e897f3,0dd84a04f05c4a852194e92db650588d1a8166c0,0,UniTime/unitime,UniTime/unitime
dd6dc2da5d55b928dd41f1c5a8efb7df73e897f3,cef417001282614ea8e50c0f29513fa8b02ad575,0,UniTime/unitime,UniTime/unitime
dd6dc2da5d55b928dd41f1c5a8efb7df73e897f3,f6e9e9d4db7a0992ab7e58f46298e65060440b00,0,UniTime/unitime,UniTime/unitime
dd6dc2da5d55b928dd41f1c5a8efb7df73e897f3,cef417001282614ea8e50c0f29513fa8b02ad575,0,UniTime/unitime,UniTime/unitime
